Time,CO2,TVOC,Pressure,Temperature,Humidity
1583685656,618,33,30.025466,27.856251,27.0
1583685660,515,17,30.025244,27.80625,27.0
1583685663,584,28,30.02443,27.856251,27.0
1583685668,496,14,30.024948,27.90625,27.0
1583685670,591,29,30.027021,27.856251,26.0
1583685674,482,12,30.025688,27.80625,26.0
1583685678,591,29,30.0248,27.75625,26.0
1583685681,659,39,30.023838,27.80625,28.0
1583685685,591,29,30.024208,27.80625,29.0
1583685688,649,37,30.023912,27.80625,30.0
1583685699,589,28,30.023764,28.00625,30.0
1583685702,497,14,30.024356,27.9375,29.0
1583685706,569,25,30.023616,28.7875,29.0
1583685710,493,14,30.023616,27.8375,27.0
1583685714,569,25,30.02332,27.887501,27.0
1583685720,487,13,30.024578,27.8375,26.0
1583685724,569,25,30.0248,27.9375,28.0
1583685727,487,13,30.024504,27.9375,27.0
1583685731,569,25,30.024356,27.8375,26.0
1583685735,620,33,30.02332,27.8375,26.0
1583685738,540,21,30.024504,27.887501,27.0
1583685742,614,32,30.024282,27.8375,28.0
1583685745,497,14,30.023023,27.8375,27.0
1583685749,574,26,30.023542,27.8375,27.0
1583685752,493,14,30.023468,29.0375,28.0
1583685817,603,30,30.023097,27.86875,28.0
1583685820,548,22,30.02369,28.11875,29.0
1583685824,470,10,30.022949,28.96875,29.0
1583685827,553,23,30.022653,28.668751,29.0
1583685831,476,11,30.023764,27.96875,29.0
1583685834,548,22,30.022875,28.06875,29.0
1583685842,470,10,30.022579,28.11875,28.0
1583685845,566,25,30.021395,28.96875,29.0
1583685849,476,11,30.021321,27.918751,26.0
1583685852,540,21,30.021395,28.11875,27.0
1583685856,548,22,30.022875,27.950001,26.0
1583685859,485,12,30.021025,27.96875,27.0
1583685863,566,25,30.021321,28.71875,29.0
1583685866,527,19,30.021765,28.06875,29.0
1583685870,603,30,30.021691,27.918751,28.0
1583685874,575,26,30.021691,27.918751,27.0
1583685881,575,26,30.021395,28.918751,29.0
1583685884,497,14,30.021617,28.71875,30.0
1583685888,569,25,30.022357,27.96875,29.0
1583685891,487,13,30.022061,28.450001,29.0
1583685895,527,19,30.020951,28.918751,30.0
1583685899,531,19,30.020951,28.168751,28.0
1583685902,454,8,30.021617,28.168751,28.0
1583685906,545,22,30.022801,28.049999,27.0
1583685909,473,11,30.021395,28.61875,28.0
1583685918,545,22,30.021543,28.0,28.0
1583685922,473,11,30.021247,28.75,29.0
1583685924,545,22,30.022579,28.0,28.0
1583685927,473,11,30.021617,28.75,29.0
1583685931,539,21,30.021913,28.049999,28.0
1583685934,539,21,30.021839,28.0,28.0
1583685938,461,9,30.020654,28.450001,28.0
1583685943,543,21,30.021469,28.0,28.0
1583685945,472,10,30.021099,28.75,29.0
1583685948,549,22,30.022431,28.700001,28.0
1583685957,497,14,30.021025,28.450001,28.0
1583685959,549,22,30.021247,28.481251,28.0
1583685963,477,11,30.021913,28.5,28.0
1583685966,543,21,30.021987,28.731251,28.0
1583685970,477,11,30.020802,28.450001,27.0
1583685973,533,20,30.022209,27.981251,26.0
1583685977,564,24,30.021247,28.450001,27.0
1583685981,456,8,30.021765,28.43125,28.0
1583685984,533,20,30.021469,28.481251,28.0
1583685988,448,7,30.022209,28.03125,28.0
1583685997,505,15,30.021025,28.43125,28.0
1583685998,444,6,30.019988,28.450001,27.0
1583686002,515,17,30.020951,28.0,27.0
1583686005,461,9,30.020284,28.0,27.0
1583686009,527,19,30.021025,28.65,29.0
1583686013,537,20,30.021543,28.799999,29.0
1583686016,464,9,30.021469,28.25,29.0
1583686020,543,21,30.02021,28.049999,28.0
1583686023,472,10,30.021321,28.5,29.0
1583686028,543,21,30.020951,28.25,28.0
1583686038,555,23,30.021099,28.25,28.0
1583686041,461,9,30.020358,28.25,28.0
1583686045,564,24,30.019396,28.200001,28.0
1583686048,481,12,30.021173,28.450001,28.0
1583686052,536,20,30.020877,28.0,28.0
1583686055,530,19,30.01947,28.450001,27.0
1583686059,450,7,30.020877,28.0,27.0
1583686063,519,18,30.021617,28.200001,27.0
1583686066,455,8,30.021691,28.200001,27.0
1583686070,519,18,30.021469,28.75,28.0
1583686079,445,6,30.021987,28.25,27.0
1583686080,519,18,30.021765,28.25,27.0
1583686084,445,6,30.021247,28.25,27.0
1583686088,530,19,30.022061,28.75,28.0
1583686091,519,18,30.021987,28.25,27.0
1583686095,438,5,30.021987,28.0,27.0
1583686098,561,24,30.021321,28.4,28.0
1583686102,463,9,30.020506,28.200001,29.0
1583686105,530,19,30.020728,28.450001,28.0
1583686109,470,10,30.020284,28.25,28.0
1583686119,553,23,30.020358,28.0,28.0
1583686120,466,10,30.021099,28.18125,27.0
1583686123,553,23,30.020284,28.03125,27.0
1583686127,466,10,30.01984,28.03125,27.0
1583686130,530,19,30.02058,28.231251,27.0
1583686134,542,21,30.02058,28.081249,27.0
1583686137,466,10,30.021469,28.481251,27.0
1583686141,560,24,30.020432,28.081249,27.0
1583686145,480,12,30.021617,28.03125,28.0
1583686150,596,29,30.020728,28.481251,29.0
1583686164,466,10,30.020802,28.481251,28.0
1583686166,560,24,30.019618,28.481251,28.0
1583686169,466,10,30.019396,28.43125,28.0
1583686173,496,14,30.020432,28.481251,27.0
1583686177,534,20,30.019766,28.231251,28.0
1583686180,492,14,30.019026,28.481251,28.0
1583686184,546,22,30.018137,28.53125,29.0
1583686187,461,9,30.021839,28.28125,28.0
1583686191,530,19,30.022209,28.03125,28.0
1583686194,540,21,30.018952,28.231251,28.0
1583686204,551,23,30.019914,28.481251,28.0
1583686205,486,13,30.020136,28.481251,28.0
1583686209,987,89,30.021025,28.231251,29.0
1583686212,546,22,30.020951,28.18125,29.0
1583686216,476,11,30.020506,28.38125,29.0
1583686219,1086,104,30.020877,28.68125,31.0
1583686223,840,67,30.019692,28.731251,31.0
1583686226,746,52,30.020136,28.68125,31.0
1583686230,744,52,30.02058,28.731251,31.0
1583686234,712,47,30.01984,28.68125,31.0
1583686246,665,40,30.02058,28.53125,30.0
1583686248,592,29,30.02058,28.43125,28.0
1583686251,697,45,30.019988,28.53125,29.0
1583686255,679,42,30.019544,28.68125,30.0
1583686259,656,39,30.020062,28.731251,30.0
1583686262,735,51,30.01984,28.581249,30.0
1583686266,697,45,30.019544,28.481251,30.0
1583686269,735,51,30.019618,28.68125,31.0
1583686273,770,56,30.018656,28.481251,30.0
1583686276,697,45,30.018359,28.63125,31.0
1583686288,704,46,30.018508,28.731251,31.0
1583686291,660,39,30.018508,28.68125,31.0
1583686294,682,42,30.018137,28.581249,31.0
1583686298,694,44,30.018211,28.731251,31.0
1583686301,653,38,30.017989,28.731251,30.0
1583686305,694,44,30.019248,28.581249,30.0
1583686308,702,46,30.0191,28.63125,30.0
1583686312,1019,94,30.019322,28.481251,29.0
1583686316,1060,100,30.017545,28.581249,30.0
1583686319,772,56,30.018508,28.28125,30.0
1583641541,0,0,30.450100000000003,0.675,60.0
1583641743,0,0,30.450100000000003,0.675,60.0
1583641945,0,0,30.450100000000003,0.675,60.0
1583643563,0,0,30.450100000000003,0.655,60.0
1583645528,0,0,30.3228,4.9,78.0
1583645891,0,0,30.3228,4.9,78.0
1583646079,0,0,30.3228,4.9,78.0
1583646832,0,0,30.3257,4.9,77.0
1583675017,0,0,30.328699999999998,4.28,75.0
1583675597,0,0,30.328699999999998,4.78,74.0
1583675797,0,0,30.328699999999998,4.78,74.0
1583676016,0,0,30.328699999999998,4.78,74.0
1583676603,0,0,0.0,0.0,0.0
1583727945,0,0,30.3228,4.4,78.0
1583728147,0,0,30.3228,4.4,78.0
1583728349,0,0,30.3228,4.4,78.0
1583731931,0,0,30.198399999999996,41.884998,88.0
1583732293,0,0,30.198399999999996,41.884998,88.0
1583732491,0,0,30.198399999999996,41.884998,88.0
1583733234,0,0,30.198399999999996,41.880001,88.0
1583761421,0,0,30.1925,45.59,87.0
1583762001,0,0,30.1925,45.59,87.0
1583762420,0,0,30.1925,45.59,87.0
1583763009,0,0,0.0,0.0,0.0
1583814149,0,0,30.198399999999996,41.884998,88.0
1583814349,0,0,30.198399999999996,41.884998,88.0
1583814551,0,0,30.198399999999996,41.884998,88.0
1583814754,0,0,30.198399999999996,41.884998,88.0
1583818334,0,0,30.0148,46.775002,93.0
1583847824,0,0,29.9882,47.505001,95.0
1583848405,0,0,29.9882,47.505001,95.0
1583849018,0,0,29.9882,47.505001,95.0
1583900552,0,0,30.0148,46.775002,93.0
1583900753,0,0,30.0148,46.775002,93.0
1583900954,0,0,30.0148,46.775002,93.0
1583901159,0,0,30.0148,46.775002,93.0
1583904737,0,0,30.2399,-2.145,67.0
1583986956,0,0,30.2399,-2.14,67.0
1583987157,0,0,30.2399,-2.14,67.0
1583987360,0,0,30.2399,-2.14,67.0
1583987567,0,0,30.2399,-2.14,67.0
1583991142,0,0,30.225099999999998,-0.06,62.0
